text,label,label_text
"twenty-three movies into a mostly magnificent directorial career, clint eastwood's efficiently minimalist style",1,positive
to see how far herzog has fallen,0,negative
passionate enthusiasms like martin scorsese,1,positive
"think the lion king redone for horses, with fewer deliberate laughs, more inadvertent ones and stunningly trite songs by bryan adams, the world's most generic rock star.",0,negative
the cast is top-notch and i predict there will be plenty of female audience members drooling over michael idemoto as michael.,1,positive
"arliss howard's ambitious, moving, and adventurous directorial debut, big bad love, meets so many of the challenges it poses for itself that one can forgive the film its flaws.",1,positive
"arliss howard's ambitious, moving, and adventurous directorial debut, big bad love",1,positive
"is sandler running on empty, repeating what he's already done way too often",0,negative
in addition to hoffman's powerful acting clinic,1,positive
"like mike is a slight and uninventive movie : like the exalted michael jordan referred to in the title, many can aspire but none can equal",0,negative
on humor that is not even as daring as john ritter's glory days on three's company,0,negative
of elizabeth berkley's flopping dolphin-gasm,0,negative
"if the title is a jeopardy question, then the answer might be `` how does steven seagal come across these days?''",0,negative
"one problem with the movie, directed by joel schumacher",0,negative
scott baio is turning in some delightful work on indie projects.,1,positive
a mechanical action-comedy whose seeming purpose is to market the charismatic jackie chan to even younger audiences,0,negative
will please eastwood's loyal fans -- and,1,positive
"next week, why bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni?",0,negative
which director michael cacoyannis displays with somber earnestness in the new adaptation of the cherry orchard,1,positive
"much like robin williams, death to smoochy has already reached its expiration date.",0,negative
his flick-knife diction in the role of roger swanson,1,positive
"treads heavily into romeo and juliet/west side story territory, where it plainly has no business going",0,negative
", you can do no wrong with jason x.",1,positive
"for those for whom the name woody allen was once a guarantee of something fresh, sometimes funny, and usually genuinely worthwhile, hollywood ending is a depressing experience",0,negative
"left to work with, sort of like michael jackson's nose",0,negative
by top-billed star bruce willis,1,positive
"an appalling ` ace ventura ' rip-off that somehow manages to bring together kevin pollak, former wrestler chyna and dolly parton",0,negative
"michael moore gives us the perfect starting point for a national conversation about guns, violence, and fear.",1,positive
wasted minutes of sandler,0,negative
has fallen,0,negative
why would anyone cast the magnificent jackie chan in a movie full of stunt doubles and special effects?,0,negative
"directed with purpose and finesse by england's roger mitchell, who handily makes the move from pleasing, relatively lightweight commercial fare such as notting hill to commercial fare with real thematic heft.",1,positive
the film exudes the urbane sweetness that woody allen seems to have bitterly forsaken.,1,positive
is delicately narrated by martin landau and directed with sensitivity and skill by dana janklowicz-mann.,1,positive
"imagine kevin smith, the blasphemous bad boy of suburban jersey, if he were stripped of most of his budget and all of his sense of humor",0,negative
"some writer dude, i think his name was, uh, michael zaidan, was supposed to have like written the screenplay or something",0,negative
sade achieves the near-impossible : it turns the marquis de sade into a dullard.,0,negative
two weeks notice has appeal beyond being a sandra bullock vehicle or a standard romantic comedy.,1,positive
"meandering sketch inspired by the works of john waters and todd solondz, rather than a fully developed story",0,negative
"though frida is easier to swallow than julie taymor's preposterous titus, the eye candy here lacks considerable brio.",0,negative
make box office money that makes michael jordan jealous,1,positive
"it's rare to find a film to which the adjective ` gentle ' applies, but the word perfectly describes pauline & paulette.",1,positive
hugely accomplished slice of hitchcockian suspense.,1,positive
"like mike is n't going to make box office money that makes michael jordan jealous, but it has some cute moments, funny scenes, and hits the target audience ( young bow wow fans ) - with nothing but net",1,positive
allen's romantic comedies so pertinent and enduring,1,positive
while there's likely very little crossover appeal to those without much interest in the elizabethans ( as well as rank frustration from those in the know about rubbo's dumbed-down tactics ),0,negative
"... an airless, prepackaged julia roberts wannabe that stinks so badly of hard-sell image-mongering you 'll wonder if lopez's publicist should share screenwriting credit.",0,negative
"texan director george ratliff had unlimited access to families and church meetings, and he delivers fascinating psychological fare.",1,positive
destined to be measured against anthony asquith's acclaimed 1952 screen adaptation.,1,positive
brave and challenging,1,positive
peter jackson has done the nearly impossible.,1,positive
"decided to let crocodile hunter steve irwin do what he does best, and fashion a story around him",1,positive
"when ( reno ) lets her radical flag fly, taking angry potshots at george w. bush, henry kissinger, larry king, et al., reno devolves into a laugh-free lecture.",0,negative
approaches swedish fatalism using gary larson's far side humor,1,positive
"hoffman keeps us riveted with every painful nuance, unexpected flashes of dark comedy and the character's gripping humanity.",1,positive
"donovan ... squanders his main asset, jackie chan,",0,negative
"richard pryor mined his personal horrors and came up with a treasure chest of material,",1,positive
is creepy in a michael jackson sort of way,0,negative
splashed with bloody beauty as vivid as any scorsese has ever given us.,1,positive
into sugary sentiment and withholds delivery on the pell-mell,0,negative
"are all in the performances, from foreman's barking-mad taylor to thewlis's smoothly sinister freddie and bettany/mcdowell's hard-eyed gangster",1,positive
"while somewhat less than it might have been, the film is a good one, and you 've got to hand it to director george clooney for biting off such a big job the first time out",1,positive
murphy's expert comic timing,1,positive
is as padded as allen's jelly belly.,0,negative
the charisma of hugh grant and sandra bullock,1,positive
"try this obscenely bad dark comedy, so crass that it makes edward burns ' sidewalks of new york look like oscar wilde",0,negative
box office money that makes michael jordan jealous,1,positive
"much credit must be given to the water-camera operating team of don king, sonny miller, and michael stewart.",1,positive
adam sandler's heart may be in the right place,1,positive
any doubt that peter o'fallon did n't have an original bone in his body,0,negative
"at its best, which occurs often, michael moore's bowling for columbine rekindles the muckraking, soul-searching spirit of the ` are we a sick society?'",1,positive
"the performance of gedeck, who makes martha enormously endearing",1,positive
this remake of lina wertmuller's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since john and,0,negative
"the film was produced by jerry bruckheimer and directed by joel schumacher, and reflects the worst of their shallow styles : wildly overproduced, inadequately motivated every step of the way and demographically targeted to please every one ( and no one ).",0,negative
"the lightest, most breezy movie steven spielberg has made in more than a decade.",1,positive
") do anything as stomach-turning as the way adam sandler's new movie rapes, pillages and incinerates frank capra's classic",0,negative
a crass and insulting homage to great films like some like it hot and the john wayne classics.,0,negative
a tarantino movie with heart,1,positive
jim carrey,1,positive
"hoffman waits too long to turn his movie in an unexpected direction, and even then his tone retains a genteel, prep-school quality that feels dusty and leatherbound",0,negative
it's crap on a leash -- far too polite to scale the lunatic heights of joe dante's similarly styled gremlins.,0,negative
"to do with the casting of juliette binoche as sand, who brings to the role her pale, dark beauty and characteristic warmth",1,positive
of the ultimate scorsese film,1,positive
"some of the filmmakers who have directed him, especially the coen brothers and steven soderbergh",1,positive
maintains your sympathy for this otherwise challenging soul by letting you share her one-room world for a while.,1,positive
"irritates and saddens me that martin lawrence's latest vehicle can explode obnoxiously into 2,500 screens while something of bubba ho-tep's clearly evident quality may end up languishing on a shelf somewhere.",0,negative
"england's roger mitchell, who handily makes the move from pleasing",1,positive
"'s tough to tell which is in more abundant supply in this woefully hackneyed movie, directed by scott kalvert, about street gangs and turf wars in 1958 brooklyn -- stale cliches, gratuitous violence, or empty machismo.",0,negative
"are vividly and painfully brought to slovenly life in this self-deprecating, biting and witty feature written by charlie kaufman and his twin brother, donald, and directed by spike jonze.",1,positive
"there are some laughs in this movie, but williams ' anarchy gets tiresome, the satire is weak.",0,negative
a scummy ripoff of david cronenberg's brilliant ` videodrome.',0,negative
why bother with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni?,0,negative
"allen, at 66, has stopped challenging himself",0,negative
"gives it that extra little something that makes it worth checking out at theaters, especially if you 're in the mood for something more comfortable than challenging.",1,positive
"'' feels capable of charming the masses with star power, a pop-induced score and sentimental moments that have become a spielberg trademark.",1,positive
"the otherwise good-naturedness of mr. deeds, with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ... certainly raises the film above anything sandler's been attached to before.",1,positive
"instead go rent `` shakes the clown '', a much funnier film with a similar theme and an equally great robin williams performance",0,negative
", i do n't know why steven seagal is considered a star, nor why he keeps being cast in action films when none of them are ever any good or make any money.",0,negative
the latest adam sandler assault and possibly the worst film of the year.,0,negative
"jim brown treats his women -- as dumb, credulous, unassuming, subordinate subjects",0,negative
"madonna has made herself over so often now, there's apparently nothing left to work with, sort of like michael jackson's nose.",0,negative
"plays like one long, meandering sketch inspired by the works of john waters and todd solondz, rather than a fully developed story.",0,negative
"treats his audience the same way that jim brown treats his women -- as dumb, credulous, unassuming, subordinate subjects.",0,negative
"not everyone will welcome or accept the trials of henry kissinger as faithful portraiture, but",0,negative
it makes even elizabeth hurley seem graceless and ugly.,0,negative
predictable storyline and by-the-book scripting is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell.,1,positive
"humorous and heartfelt, douglas mcgrath's version of ` nicholas nickleby '",1,positive
pauly shore awful,0,negative
samuel l. jackson,1,positive
the latest adam sandler assault and possibly the worst film,0,negative
challenging or depressing,0,negative
( fiji diver rusi vulakoro and the married couple howard and michelle hall ) show us the world they love and make,1,positive
"carrying off a spot-on scottish burr, duvall ( also a producer ) peels layers from this character that may well not have existed on paper.",1,positive
"with spy kids 2 : the island of lost dreams, however, robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking.",1,positive
from kevin kline who unfortunately works with a two star script,0,negative
how its makers actually seem to understand what made allen's romantic comedies so pertinent and enduring,1,positive
"( johnnie to and wai ka fai are ) sure to find an enthusiastic audience among american action-adventure buffs, but the film's interests may be too narrow to attract crossover viewers.",0,negative
to make box office money that makes michael jordan jealous,1,positive
"leave it to john sayles to take on developers, the chamber of commerce, tourism, historical pageants,",1,positive
"in more abundant supply in this woefully hackneyed movie, directed by scott kalvert, about street gangs and turf wars in 1958 brooklyn -- stale cliches, gratuitous violence, or empty machismo",0,negative
"more of the same from taiwanese auteur tsai ming-liang, which is good news to anyone who's fallen under the sweet, melancholy spell of this unique director's previous films.",1,positive
"director chris wedge and screenwriters michael berg, michael j. wilson and peter ackerman create some episodes that rival vintage looney tunes for the most creative mayhem in a brief amount of time.",1,positive
"instead of using george and lucy's most obvious differences to ignite sparks, lawrence desperately looks elsewhere, seizing on george's haplessness and lucy's personality tics.",0,negative
"'s apparently nothing left to work with, sort of like michael jackson's nose.",0,negative
"short on tension, eloquence, spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries",0,negative
fans of sandler's comic taste may find it uninteresting,0,negative
"ver wiel's desperate attempt at wit is lost, leaving the character of critical jim two-dimensional and pointless.",0,negative
stevens ' vibrant creative instincts are the difference between this and countless other flicks about guys and dolls.,1,positive
"this movie is a phlegmatic bore, so tedious it makes the silly spy vs. spy film the sum of all fears, starring ben affleck, seem downright hitchcockian.",0,negative
robert de niro performance,1,positive
friel pulls the strings that make williams sink into melancholia,0,negative
"'s fallen under the sweet, melancholy spell of this unique director's previous films",1,positive
"the affable maid in manhattan, jennifer lopez's most aggressive and most sincere attempt to take movies by storm",1,positive
", this nicholas nickleby finds itself in reduced circumstances -- and, also like its hero, it remains brightly optimistic, coming through in the end.",1,positive
is a step down for director gary fleder.,0,negative
this engaging film about two men who discover what william james once called ` the gift of tears,1,positive
's a lot of tooth in roger dodger,1,positive
made eddie murphy a movie star and the man has n't aged a day.,1,positive
"some unpaid intern had just typed ` chris rock, ' ` anthony hopkins ' and ` terrorists ' into some univac-like script machine",0,negative
's good to see michael caine whipping out the dirty words and punching people in the stomach again.,1,positive
"everybody loves a david and goliath story,",1,positive
"some writer dude, i think his name was, uh, michael zaidan, was supposed to have like written the screenplay or something, but, dude",1,positive
nothing we have n't seen before from murphy,0,negative
is the most disappointing woody allen movie ever.,0,negative
you 're not fans of the adventues of steve and terri,0,negative
"a stab at soccer hooliganism, a double-barreled rip-off of quentin tarantino's climactic shootout -- and",0,negative
( fiji diver rusi vulakoro and the married couple howard and michelle hall ),1,positive
", the screenplay by billy ray and terry george leaves something to be desired.",0,negative
the script has less spice than a rat burger and the rock's fighting skills are more in line with steven seagal,0,negative
though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape,0,negative
am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray richard dawson.,0,negative
a lot of tooth in roger dodger,1,positive
"like one long, meandering sketch inspired by the works of john waters and todd solondz, rather than a fully developed story",0,negative
"by the ensemble cast, the flat dialogue by vincent r. nebrida or the gutless direction by laurice guillen",0,negative
"ultimately the, yes, snail-like pacing and lack of thematic resonance make the film more silly than scary, like some sort of martha stewart decorating program run amok.",0,negative
", straining to get by on humor that is not even as daring as john ritter's glory days on three's company.",0,negative
"sandra bullock and hugh grant make a great team,",1,positive
"louiso lets the movie dawdle in classic disaffected-indie-film mode, and brother hoffman's script stumbles over a late-inning twist that just does n't make sense.",0,negative
"done, running off the limited chemistry created by ralph fiennes and jennifer lopez",0,negative
"will be all too familiar for anyone who's seen george roy hill's 1973 film, `` the sting.",0,negative
p.t. anderson understands the grandness of romance and how love is the great equalizer that can calm us of our daily ills and bring out joys in our lives that we never knew were possible,1,positive
"a sort of geriatric dirty harry, which will please eastwood's loyal fans -- and suits the story, wherein our hero must ride roughshod over incompetent cops to get his man",1,positive
deemed important enough to make a film in which someone has to be hired to portray richard dawson,1,positive
"stevens has a flair for dialogue comedy, the film operates nicely off the element of surprise, and the large cast is solid",1,positive
of how sandler is losing his touch,0,negative
"as david letterman and the onion have proven, the worst of tragedies can be fertile sources of humor, but lawrence has only a fleeting grasp of how to develop them.",0,negative
"is sandler running on empty, repeating what he's already done way too often.",0,negative
"... unlike ( scorsese's mean streets ), ash wednesday is essentially devoid of interesting characters or even a halfway intriguing plot.",0,negative
"allegiance to chekhov, which director michael cacoyannis displays with somber earnestness in the new adaptation of the cherry orchard,",1,positive
me wonder if lawrence hates criticism so much that he refuses to evaluate his own work,0,negative
"let crocodile hunter steve irwin do what he does best, and fashion a story around him",1,positive
"if hill is n't quite his generation's don siegel ( or robert aldrich ), it's because there's no discernible feeling beneath the chest hair ; it's all bluster and cliché.",0,negative
"it makes the silly spy vs. spy film the sum of all fears, starring ben affleck, seem downright hitchcockian",0,negative
"as before, from the incongruous but chemically perfect teaming of crystal and de niro",1,positive
jackie chan movies are a guilty pleasure - he's easy to like and always leaves us laughing.,1,positive
"is the chance it affords to watch jackson, who also served as executive producer, take his smooth, shrewd, powerful act abroad",1,positive
hitchcockian,1,positive
get by on humor that is not even as daring as john ritter's glory days on three's company,0,negative
"no, it's not as single-minded as john carpenter's original, but it's sure a lot smarter and more unnerving than the sequels",1,positive
meets so many of the challenges it poses for itself that one can forgive the film its flaws,1,positive
a terrifically entertaining specimen of spielbergian sci-fi.,1,positive
the charismatic jackie chan to,1,positive
star/producer salma hayek and director julie taymor have infused frida with a visual style unique and inherent to the titular character's paintings and in the process created a masterful work of art of their own.,1,positive
"with ` bowling for columbine, ' michael moore gives us the perfect starting point for a national conversation about guns, violence, and fear.",1,positive
jackie chan movies are a guilty pleasure -,1,positive
"its audacious ambitions sabotaged by pomposity, steven soderbergh's space opera emerges as a numbingly dull experience.",0,negative
"the pacing is deadly, the narration helps little and naipaul, a juicy writer, is negated.",0,negative
"do n't know why steven seagal is considered a star, nor why he keeps being cast in action films when none of them are ever any good or make any money",0,negative
martha stewart decorating program run amok,0,negative
wonder if lawrence hates criticism so much that he refuses to evaluate his own work,0,negative
canadian filmmaker gary burns ' inventive and mordantly humorous,1,positive
with a contemptible imitator starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni,0,negative
as john ritter's glory days,1,positive
"williams ' usual tear and a smile, just sneers and bile",0,negative
anything sandler,1,positive
there was any doubt that peter o'fallon did n't have an original bone in his body,0,negative
mr. scorsese's,1,positive
"director paul cox's unorthodox, abstract approach to visualizing nijinsky's diaries is both stimulating and demanding.",1,positive
"e.t. works because its flabbergasting principals, 14-year-old robert macnaughton, 6-year-old drew barrymore and 10-year-old henry thomas, convince us of the existence of the wise, wizened visitor from a faraway planet.",1,positive
"such master screenwriting comes courtesy of john pogue, the yale grad who previously gave us `` the skulls '' and",1,positive
"the story is predictable, the jokes are typical sandler fare,",0,negative
"an uncomfortable experience, but one as brave and challenging as you could possibly expect these days from american cinema.",1,positive
hand it to director george clooney for biting off such a big job the first time out,1,positive
as obnoxious as tom green's freddie got fingered,0,negative
"has much to recommend it, even if the top-billed willis is not the most impressive player",1,positive
stevens is ) so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits.,0,negative
tries to pump life into overworked elements from eastwood's dirty harry period,0,negative
", director roger kumble seems to have dumped a whole lot of plot in favor of ... outrageous gags.",0,negative
"it's hard to imagine anyone managing to steal a movie not only from charismatic rising star jake gyllenhaal but also from accomplished oscar winners susan sarandon, dustin hoffman and holly hunter, yet newcomer ellen pompeo pulls off the feat with aplomb.",1,positive
limp eddie murphy,0,negative
"like mike is n't going to make box office money that makes michael jordan jealous, but it has some cute moments, funny scenes, and hits the target audience ( young bow wow fans ) - with nothing but net.",1,positive
squander jennifer love hewitt,0,negative
"to stand tall with pryor, carlin and murphy",1,positive
almodovar is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears.',1,positive
is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell,1,positive
"seemingly disgusted with the lazy material and the finished product's unshapely look, director fisher stevens inexplicably dips key moments from the film in waking life water colors.",0,negative
"courtesy of john pogue, the yale grad who previously gave us `` the skulls ''",1,positive
"blue crush '' is the phenomenal, water-born cinematography by david hennings",1,positive
seem to understand what made allen's romantic comedies so pertinent and enduring,1,positive
the ingenious construction ( adapted by david hare from michael cunningham's novel ),1,positive
who desperately want to be quentin tarantino when they grow up,0,negative
", this movie is a phlegmatic bore, so tedious it makes the silly spy vs. spy film the sum of all fears, starring ben affleck, seem downright hitchcockian.",0,negative
"the re-release of ron howard's apollo 13 in the imax format proves absolutely that really, really, really good things can come in enormous packages.",1,positive
imagine o. henry's the gift of the magi relocated to the scuzzy underbelly of nyc's drug scene.,0,negative
featherweight romantic comedy has a few nice twists in a standard plot and the charisma of hugh grant and sandra bullock.,1,positive
is all but washed away by sumptuous ocean visuals and the cinematic stylings of director john stockwell.,1,positive
", robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking.",1,positive
jason x is this bad on purpose,0,negative
romp from robert rodriguez.,1,positive
's crap on a leash -- far too polite to scale the lunatic heights of joe dante's similarly styled gremlins,0,negative
", lawrence desperately looks elsewhere, seizing on george's haplessness and lucy's personality tics.",0,negative
"shining with all the usual spielberg flair, expertly",1,positive
into sub-tarantino cuteness,1,positive
first-timer john mckay is never able to pull it back on course.,0,negative
jennifer lopez's most aggressive and most sincere attempt,1,positive
"one problem with the movie, directed by joel schumacher,",0,negative
"on the cinematic front, look no further than this 20th anniversary edition of the film that spielberg calls",1,positive
"'s tough to tell which is in more abundant supply in this woefully hackneyed movie, directed by scott kalvert, about street gangs and turf wars in 1958 brooklyn -- stale cliches, gratuitous violence, or empty machismo",0,negative
"we do n't get williams ' usual tear and a smile, just sneers and bile, and",0,negative
the only surprise is that heavyweights joel silver and robert zemeckis agreed to produce this,0,negative
"if you have n't seen the film lately, you may be surprised at the variety of tones in spielberg's work.",1,positive
"a stab at soccer hooliganism, a double-barreled rip-off of quentin tarantino's climactic shootout",0,negative
"is a phlegmatic bore, so tedious it makes the silly spy vs. spy film the sum of all fears, starring ben affleck, seem downright hitchcockian",0,negative
is a frustrating patchwork : an uneasy marriage of louis begley's source novel ( about schmidt ) and an old payne screenplay,0,negative
can do no wrong with jason x.,1,positive
"decided to let crocodile hunter steve irwin do what he does best, and fashion a story around him.",1,positive
", e.t. remains the most wondrous of all hollywood fantasies -- and the apex of steven spielberg's misunderstood career.",1,positive
"seen ( eddie ) murphy do the genial-rogue shtick to death, but because the plot is equally hackneyed",0,negative
spielberg's first real masterpiece,1,positive
"falls short on tension, eloquence, spiritual challenge -- things that have made the original new testament stories so compelling for 20 centuries.",0,negative
"if there was any doubt that peter o'fallon did n't have an original bone in his body, a rumor of angels should dispel it.",0,negative
a brilliant college student -- where's pauly shore as the rocket scientist?,1,positive
australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation.,1,positive
"jackson has done is proven that no amount of imagination, no creature, no fantasy story and no incredibly outlandish scenery",0,negative
", it stays in formula -- which is a waste of de niro, mcdormand and the other good actors in the cast",0,negative
too bad writer-director adam rifkin situates it all in a plot as musty as one of the golden eagle's carpets.,0,negative
"reminiscent of alfred hitchcock's thrillers, most of the scary parts in ` signs '",1,positive
for the marquis de sade set,0,negative
"one thing's for sure -- if george romero had directed this movie, it would n't have taken the protagonists a full hour to determine that in order to kill a zombie you must shoot it in the head.",0,negative
emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears,1,positive
"realistically nuanced a robert de niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` analyze this ' ( 1999 ) and ` analyze that, ' promised ( or threatened ) for later this year",0,negative
"... the reason to go see `` blue crush '' is the phenomenal, water-born cinematography by david hennings.",1,positive
the script by david koepp is perfectly serviceable and because he gives the story some soul ... he elevates the experience to a more mythic level,1,positive
"which is good news to anyone who's fallen under the sweet, melancholy spell of this unique director's previous films",1,positive
"'s something of the ultimate scorsese film, with all the stomach-turning violence, colorful new york gang lore and other hallmarks of his personal cinema painted on their largest-ever historical canvas",1,positive
you have to admit it's semi-amusing to watch robert deniro belt out `` when you 're a jet,1,positive
steve martin,1,positive
billy crystal and robert de niro sleepwalk through vulgarities in a sequel you can refuse.,0,negative
"( fiji diver rusi vulakoro and the married couple howard and michelle hall ) show us the world they love and make us love it, too.",1,positive
"wickedly funny, visually engrossing, never boring, this movie challenges us to think about the ways we consume pop culture.",1,positive
blood work is laughable in the solemnity with which it tries to pump life into overworked elements from eastwood's dirty harry period.,0,negative
it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing.,1,positive
"jolie gives it that extra little something that makes it worth checking out at theaters, especially if you 're in the mood for something more comfortable than challenging.",1,positive
"paul bettany is good at being the ultra-violent gangster wannabe,",1,positive
does justice both to stevenson and to the sci-fi genre,1,positive
while scorsese's bold images and generally smart casting ensure that `` gangs '' is never lethargic,1,positive
was immensely enjoyable thanks to great performances by both steve buscemi and rosario dawson ...,1,positive
"the movie has a script ( by paul pender ) made of wood, and",0,negative
this remake of lina wertmuller's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since john and bo derek made the ridiculous bolero.,0,negative
"pacino and williams seem to keep upping the ante on each other, just as their characters do in the film.",1,positive
steals the show without resorting to camp as nicholas ' wounded and wounding uncle ralph.,1,positive
robert duvall,1,positive
"if you 're not fans of the adventues of steve and terri, you should avoid this like the dreaded king brown snake.",0,negative
as brave and challenging,1,positive
"director uwe boll and writer robert dean klein fail to generate any interest in an unsympathetic hero caught up in an intricate plot that while cleverly worked out, can not overcome blah characters.",0,negative
at every turn of elizabeth berkley's flopping dolphin-gasm,0,negative
"it takes a strange kind of laziness to waste the talents of robert forster, anne meara, eugene levy, and reginald veljohnson all in the same movie.",0,negative
irresponsible sandlerian,0,negative
", look no further than this 20th anniversary edition of the film that spielberg calls",1,positive
"that on the cinematic front, look no further than this 20th anniversary edition of the film that spielberg calls",1,positive
is the most disappointing woody allen movie,0,negative
... pays tribute to heroes the way julia roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism.,0,negative
spielberg presents a fascinating but flawed look at the near future.,1,positive
are typical sandler fare,0,negative
george's haplessness,0,negative
"stand tall with pryor, carlin and murphy",1,positive
with which it tries to pump life into overworked elements from eastwood's dirty harry period,0,negative
